Scenario,Model,FCS,TAS,QS,Final
1,llama-3.1-8b-instant,0.33,1.0,0.8,0.71
2,llama-3.1-8b-instant,0.67,1.0,0.8,0.82
3,llama-3.1-8b-instant,0.33,0.8,0.8,0.64
4,llama-3.1-8b-instant,0.0,1.0,0.8,0.6
5,llama-3.1-8b-instant,0.0,0.6,0.8,0.47
6,llama-3.1-8b-instant,0.0,0.6,0.8,0.47
7,llama-3.1-8b-instant,0.0,1.0,0.8,0.6
8,llama-3.1-8b-instant,0.33,0.8,0.8,0.64
9,llama-3.1-8b-instant,0.0,1.0,1.0,0.67
10,llama-3.1-8b-instant,0.67,1.0,1.0,0.89
1,llama-3.3-70b-versatile,0.33,1.0,0.8,0.71
2,llama-3.3-70b-versatile,0.67,1.0,0.8,0.82
3,llama-3.3-70b-versatile,0.33,1.0,0.8,0.71
4,llama-3.3-70b-versatile,0.0,1.0,0.8,0.6
5,llama-3.3-70b-versatile,0.0,0.8,0.8,0.53
6,llama-3.3-70b-versatile,0.0,0.8,0.8,0.53
7,llama-3.3-70b-versatile,0.0,1.0,0.8,0.6
8,llama-3.3-70b-versatile,0.33,1.0,0.8,0.71
9,llama-3.3-70b-versatile,0.0,1.0,0.8,0.6
10,llama-3.3-70b-versatile,0.33,1.0,1.0,0.78
